,MovieName,StoryLine
205,Sonic the Hedgehog 2,"When Dr. Robotnik returns with a new partner, Knuckles, in search of an emerald that has the power to destroy civilizations, Sonic teams up with his own sidekick, Tails, on a journey across the world to find the emerald first."
206,Wonka,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers."
207,Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
208,Stree 2: Sarkate Ka Aatank,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones."
209,Anyone But You,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
210,Sonic the Hedgehog,"Taking refuge on Earth, when Sonic uses his incredible speed and accidentally knock out the power in part of the United States, he catches the attention of Dr. Robotnik and must stop him from using his unique power for world domination."
211,Triangle of Sadness,A fashion model celebrity couple join an eventful cruise for the super-rich.
212,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
213,X,"In 1979, a group of young filmmakers set out to make an adult film in a rural Texas farm, but when their reclusive, elderly hosts catch them in the act, the crew find themselves fighting for their lives."
214,The Kings of Tupelo: A Southern Crime Saga,"Small-town feud, internet conspiracy, Elvis impersonator, black market organs, and presidential assassination attempt intertwine in Mississippi's jaw-dropping scandal."
215,Industry,Young bankers and traders make their way in the financial world in the aftermath of the 2008 collapse.
216,Smile,"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity."
217,Jujutsu Kaisen,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
218,Solo Leveling,Follows the adventures of Sung Jinwoo in a world that is constantly threatened by monsters and evil forces. In his battles Sung transforms himself from the weakest hunter of all mankind to one of the strongest hunters in existence.
219,Jigra,"When Ankur is wrongfully imprisoned and sentenced to death in a foreign country, his steely sister Satya is driven by a lethal resolve to break him free."
220,Invincible,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
221,Blitz,The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.
222,Culpa Mía,"Noah has to leave her town, boyfriend and friends behind and move into the mansion of her mother's new rich husband. There she meets Nick, her new stepbrother. They fall madly in love in secret."
223,Black Bird,Jimmy Keene is sentenced to 10 years in a minimum security prison but he cuts a deal with the FBI to befriend a suspected serial killer. Keene has to elicit a confession from Larry Hall to find the bodies of as many as eighteen women.
224,Blue Lock,High school soccer players from across Japan gather for a controversial project designed to create the best and most egoistic striker in the world.
225,9-1-1: Lone Star,"A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems."
226,Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
227,All We Imagine as Light,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend."
228,Interior Chinatown,"Background actor Willis Wu witnesses a crime in Chinatown while working on a TV show. As he investigates, he unravels a criminal web and experiences life in the spotlight he had dreamed of."
229,Foundation,A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.
230,Sidelined: The QB and Me,A headstrong dancer and a cocky quarterback fight against their feelings for each other as their post-grad future threatens to keep them apart.
231,FBI: Most Wanted,"Follows the Federal Bureau of Investigation's (FBI) Fugitive Task Force (FTF), who are tasked with tracking down and capturing notorious criminals on the FBI's Top 10 Most Wanted list."
232,Andor,"Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero."
233,Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job."
234,Following Yonder Star,"Abby Marshall (Brooke D'Orsay), once celebrated for her role as an inspirational mother on TV, is finding her real life in shambles after dealing with a scandal. She retreats to a luxury Vermont resort for Christmas only to find herself without a room due to a booking mishap. All the local hotels are booked up due to a rare astronomical event - a beautiful star said to mirror the Star of Bethlehem will appear on Christmas Eve. Thankfully, Abby finds a room at a quaint B&B, owned by Tom Maguire (John Brotherton), who is also a high school astronomy teacher. Since his wife's passing, Tom has taken on a lot of extra responsibilities, including running the inn and directing the local church's Christmas pageant. Empathizing with Tom, Abby offers to help with the pageant and various activities around the inn and finds herself enjoying both the projects and Tom's company. Through newfound community, family and love, Abby discovers that hope sometimes comes in the most unexpected ways. A DaySpring movie."
235,Indiana Jones and the Great Circle,"Uncover one of history's greatest mysteries in Indiana Jones and the Great Circle, a first-person, single-player adventure set between the events of Raiders of the Lost Ark and The Last Crusade."
236,Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear."
237,The Night Agent,"Low-level FBI agent Peter Sutherland works in the basement of the White House manning a phone that never rings - until the night it does, propelling him into a conspiracy that leads all the way to the Oval Office."
238,All Creatures Great & Small,"James Herriot, fresh out of Glasgow Veterinary College, pursues his dream to become a vet in the Yorkshire Dales. He discovers that treating the animals is as much about treating their owners, and the Dales' farmers are a tough to please."
239,Babylon,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
240,The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength."
241,Bad Monkey,"A detective turned restaurant inspector in Key West is pulled into a world of greed and corruption after a tourist finds a severed arm while fishing. And yes, there's a monkey."
242,1992,A shopkeeper must save his son from an angry mob during the 1992 L.A. uprising after the Rodney King verdict.
243,Spider-Man: Across the Spider-Verse,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
244,Disaster Holiday,"Dad promises an exotic vacation but mistakenly books Durban instead of Zanzibar. Chaos ensues as the family's dream trip spirals into hilarity, while dad scrambles to secure a promotion."
245,It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges."
246,Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present."
247,Hit Man,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services."
248,The Equalizer,An enigmatic figure uses her extensive skills to help those with nowhere else to turn.
249,A Christmas Story Christmas,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man."
